source_field,raw_label,category,clinical_domain,specificity,status
product_problems_cleaned_json,Material Rupture,rupture,device_integrity,specific,approved_v1
product_problems_cleaned_json,Fluid/Blood Leak,leak_or_deflation,device_integrity,moderate,approved_v1
product_problems_cleaned_json,Defective Component,device_defect,device_integrity,nonspecific,approved_v1
product_problems_cleaned_json,Defective Device,device_defect,device_integrity,nonspecific,approved_v1
product_problems_cleaned_json,Patient-Device Incompatibility,patient_device_incompatibility,biocompatibility,moderate,approved_v1
product_problems_cleaned_json,Adverse Event Without Identified Device or Use Problem,no_identified_device_problem,unclassified,nonspecific,approved_v1
patient_problems_cleaned_json,Capsular Contracture,capsular_contracture,local_complication,specific,approved_v1
patient_problems_cleaned_json,Pain,pain,patient_symptom,moderate,approved_v1
patient_problems_cleaned_json,Wrinkling,wrinkling_or_rippling,local_complication,moderate,approved_v1
patient_problems_cleaned_json,Failure of Implant,implant_failure_nonspecific,device_integrity,nonspecific,approved_v1
patient_problems_cleaned_json,No Code Available,unclassified_patient_problem,unclassified,nonspecific,approved_v1
