Year,ClinicalDomain,Category,ReportCount,PctOfYearReports
2020,biocompatibility,device_triggered_rejection,351,0.9162
2020,biocompatibility,hypersensitivity_allergic_reaction,74,0.1932
2020,biocompatibility,patient_device_incompatibility,8510,22.2141
2020,bleeding_complication,hematoma,162,0.4229
2020,breast_finding,breast_mass,284,0.7413
2020,breast_finding,cyst,126,0.3289
2020,cardiovascular_system,arrhythmia,2,0.0052
2020,contamination,device_contamination,25,0.0653
2020,device_handling,device_handling_problem,5,0.0131
2020,device_integrity,deflation,309,0.8066
2020,device_integrity,device_breakage,46,0.1201
2020,device_integrity,device_component_detachment,10,0.0261
2020,device_integrity,device_defect,28,0.0731
2020,device_integrity,gel_leak,174,0.4542
2020,device_integrity,implant_failure_nonspecific,11681,30.4915
2020,device_integrity,leak_or_deflation,5126,13.3807
2020,device_integrity,material_deformation,38,0.0992
2020,device_integrity,material_delamination,17,0.0444
2020,device_integrity,material_discoloration,41,0.107
2020,device_integrity,rupture,15620,40.7737
2020,device_integrity,unintended_deflation,12,0.0313
2020,device_patient_interaction,patient_device_interaction,1,0.0026
2020,device_position,device_malposition,27,0.0705
2020,device_position,device_migration,687,1.7933
2020,device_use,use_of_device_problem,2,0.0052
2020,device_use_or_procedure,improper_procedure_or_method,68,0.1775
2020,ear_and_auditory_system,tinnitus,42,0.1096
2020,eye,dry_eye,51,0.1331
2020,fluid_collection,seroma,2014,5.2573
2020,fluid_collection,swelling_edema,9,0.0235
2020,gastrointestinal_system,gastrointestinal_problem_unspecified,10,0.0261
2020,health_effect_unspecified,reported_rupture_unspecified,11,0.0287
2020,infection,abscess,33,0.0861
2020,infection,bacterial_infection,10,0.0261
2020,infection,cellulitis,39,0.1018
2020,infection,infection,790,2.0622
2020,infection,postoperative_wound_infection,32,0.0835
2020,inflammatory_response,foreign_body_reaction,13,0.0339
2020,inflammatory_response,granuloma,269,0.7022
2020,inflammatory_response,inflammation,155,0.4046
2020,inflammatory_response,local_reaction,169,0.4411
2020,local_complication,calcification,47,0.1227
2020,local_complication,capsular_contracture,14235,37.1584
2020,local_complication,wrinkling_or_rippling,306,0.7988
2020,lymphatic_system,lymphadenopathy,651,1.6993
2020,musculoskeletal_system,arthralgia,113,0.295
2020,musculoskeletal_system,muscle_weakness_atrophy,19,0.0496
2020,musculoskeletal_system,myalgia,15,0.0392
2020,neoplasm,anaplastic_large_cell_lymphoma,147,0.3837
2020,neoplasm,bia_alcl,22,0.0574
2020,neoplasm,breast_cancer,24,0.0626
2020,neoplasm,cancer_unspecified,110,0.2871
2020,neoplasm,lymphoma_unspecified,242,0.6317
2020,nervous_system,burning_sensation,33,0.0861
2020,nervous_system,cognitive_changes,83,0.2167
2020,nervous_system,confusion_disorientation,51,0.1331
2020,nervous_system,dizziness,29,0.0757
2020,nervous_system,headache,129,0.3367
2020,nervous_system,memory_loss_impairment,80,0.2088
2020,nervous_system,neurological_deficit,176,0.4594
2020,nervous_system,numbness,64,0.1671
2020,nervous_system,paresthesia,30,0.0783
2020,nervous_system,sleep_dysfunction,83,0.2167
2020,nervous_system,vertigo,49,0.1279
2020,patient_symptom,chest_pain,41,0.107
2020,patient_symptom,pain,1740,4.542
2020,psychological_condition,anxiety,115,0.3002
2020,psychological_condition,depression,104,0.2715
2020,psychological_condition,emotional_changes,31,0.0809
2020,respiratory_system,dyspnea,64,0.1671
2020,skin_subcutaneous_tissue,hair_loss,124,0.3237
2020,skin_subcutaneous_tissue,itching,32,0.0835
2020,skin_subcutaneous_tissue,rash,105,0.2741
2020,skin_subcutaneous_tissue,skin_inflammation_irritation,4,0.0104
2020,skin_subcutaneous_tissue,skin_irritation,118,0.308
2020,structural_aesthetic_outcome,deformity_disfigurement,743,1.9395
2020,structural_aesthetic_outcome,ptosis,8,0.0209
2020,systemic_condition,autoimmune_disorder,105,0.2741
2020,systemic_condition,autoimmune_reaction,433,1.1303
2020,systemic_symptom,fatigue,231,0.603
2020,systemic_symptom,weight_changes,79,0.2062
2020,tissue_injury,pocket_erosion,33,0.0861
2020,tissue_injury,tissue_necrosis,90,0.2349
2020,traumatic_injury,crushing_injury,16,0.0418
2020,traumatic_injury,injury_unspecified,292,0.7622
2020,wound_healing,impaired_wound_healing,93,0.2428
2020,wound_healing,scar_tissue,6,0.0157
2020,wound_healing,wound_dehiscence,152,0.3968
2020,wound_or_breast_finding,fluid_discharge,26,0.0679
