ClinicalDomain,Category,ReportCount,PctOfAllReports
device_integrity,rupture,100777,42.4872
local_complication,capsular_contracture,98586,41.5634
device_integrity,implant_failure_nonspecific,69675,29.3747
biocompatibility,device_triggered_rejection,49957,21.0617
structural_aesthetic_outcome,deformity_disfigurement,33896,14.2904
device_integrity,leak_or_deflation,25635,10.8076
fluid_collection,seroma,9712,4.0945
biocompatibility,patient_device_incompatibility,9610,4.0515
patient_symptom,pain,7389,3.1152
device_patient_interaction,patient_device_interaction,5506,2.3213
device_position,device_migration,4839,2.0401
lymphatic_system,lymphadenopathy,3481,1.4676
device_integrity,gel_leak,2950,1.2437
infection,infection,2720,1.1467
inflammatory_response,granuloma,2211,0.9321
health_effect_unspecified,reported_rupture_unspecified,2075,0.8748
local_complication,wrinkling_or_rippling,1893,0.7981
breast_finding,breast_mass,1457,0.6143
systemic_condition,autoimmune_disorder,1230,0.5186
device_integrity,deflation,1184,0.4992
inflammatory_response,local_reaction,1078,0.4545
neoplasm,lymphoma_unspecified,1073,0.4524
infection,postoperative_wound_infection,965,0.4068
device_integrity,device_breakage,902,0.3803
bleeding_complication,hematoma,832,0.3508
systemic_symptom,fatigue,804,0.339
breast_finding,cyst,711,0.2998
nervous_system,paresthesia,622,0.2622
device_position,device_malposition,574,0.242
tissue_injury,tissue_necrosis,530,0.2234
neoplasm,bia_alcl,527,0.2222
wound_healing,impaired_wound_healing,520,0.2192
psychological_condition,anxiety,518,0.2184
wound_healing,wound_dehiscence,512,0.2159
traumatic_injury,crushing_injury,503,0.2121
neoplasm,cancer_unspecified,499,0.2104
inflammatory_response,inflammation,483,0.2036
device_handling,device_handling_problem,472,0.199
nervous_system,headache,455,0.1918
skin_subcutaneous_tissue,skin_inflammation_irritation,454,0.1914
systemic_condition,autoimmune_reaction,434,0.183
skin_subcutaneous_tissue,hair_loss,417,0.1758
local_complication,calcification,407,0.1716
musculoskeletal_system,arthralgia,387,0.1632
inflammatory_response,foreign_body_reaction,376,0.1585
device_use,use_of_device_problem,370,0.156
nervous_system,cognitive_changes,360,0.1518
skin_subcutaneous_tissue,rash,355,0.1497
psychological_condition,depression,324,0.1366
neoplasm,breast_cancer,322,0.1358
tissue_injury,pocket_erosion,309,0.1303
systemic_symptom,weight_changes,307,0.1294
traumatic_injury,injury_unspecified,292,0.1231
device_integrity,material_deformation,284,0.1197
biocompatibility,hypersensitivity_allergic_reaction,271,0.1143
nervous_system,sleep_dysfunction,270,0.1138
nervous_system,memory_loss_impairment,257,0.1084
fluid_collection,swelling_edema,248,0.1046
wound_healing,scar_tissue,234,0.0987
device_integrity,material_discoloration,231,0.0974
respiratory_system,dyspnea,222,0.0936
wound_or_breast_finding,fluid_discharge,222,0.0936
eye,dry_eye,212,0.0894
device_integrity,unintended_deflation,210,0.0885
device_integrity,material_delamination,187,0.0788
nervous_system,numbness,185,0.078
nervous_system,neurological_deficit,180,0.0759
infection,abscess,169,0.0712
psychological_condition,emotional_changes,164,0.0691
neoplasm,anaplastic_large_cell_lymphoma,160,0.0675
infection,bacterial_infection,155,0.0653
ear_and_auditory_system,tinnitus,155,0.0653
infection,cellulitis,153,0.0645
device_use_or_procedure,improper_procedure_or_method,147,0.062
patient_symptom,chest_pain,144,0.0607
nervous_system,burning_sensation,143,0.0603
device_integrity,device_component_detachment,135,0.0569
gastrointestinal_system,gastrointestinal_problem_unspecified,134,0.0565
skin_subcutaneous_tissue,itching,127,0.0535
musculoskeletal_system,muscle_weakness_atrophy,127,0.0535
nervous_system,dizziness,125,0.0527
nervous_system,confusion_disorientation,124,0.0523
contamination,device_contamination,124,0.0523
structural_aesthetic_outcome,ptosis,120,0.0506
skin_subcutaneous_tissue,skin_irritation,118,0.0497
nervous_system,vertigo,118,0.0497
musculoskeletal_system,myalgia,113,0.0476
device_integrity,device_defect,106,0.0447
tissue_injury,erosion,104,0.0438
cardiovascular_system,arrhythmia,100,0.0422
