Table,Field,DataType,Definition,Denominator,Warning
KpiSummary,ScopedReports,Whole number,Unique scoped MDR report rows,Full scoped cohort,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
AnnualReporting,ReportCount,Whole number,Unique reports received in year,All scoped reports in year,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
QueryComposition,PctOfYearReports,Decimal percentage,Share of annual reports by FTR/FWM query membership,All scoped reports in year,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
CategoryByYear,PctOfYearReports,Decimal percentage,Reports carrying mapped category,All scoped reports in year; categories overlap,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
CategoryOverall,PctOfAllReports,Decimal percentage,Reports carrying mapped category,"All 237,194 scoped reports; categories overlap","MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
DomainByYear,PctOfYearReports,Decimal percentage,Reports carrying at least one category in domain,All scoped reports in year; domains overlap,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
FollowupSummary,PctOfAllReports,Decimal percentage,Reports by coded follow-up count bucket,All scoped reports,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
ReportingLag,MedianNonnegativeLagDays,Decimal days,Median date_received minus date_of_event,Reports with nonnegative available lag,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
EventDateCompleteness,EventDateMissingPct,Decimal percentage,Reports lacking usable date_of_event,All scoped reports in year,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
PatientEntryCharacteristics,PctOfRows,Decimal percentage,Recorded patient-entry characteristic,"Patient entries, not unique patients","MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
ReporterSource,PctOfAllReports,Decimal percentage,Recorded report-source/occupation combination,All scoped reports,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
SourceType,PctOfAllReports,Decimal percentage,Reports carrying source-type label,All scoped reports; labels overlap,"MDR reporting patterns only; not incidence, causality, unique patients/devices, comparative safety, or manufacturer rankings."
