Year,ClinicalDomain,ReportCount,PctOfYearReports
2020,biocompatibility,8842,23.0807
2020,bleeding_complication,162,0.4229
2020,breast_finding,401,1.0468
2020,cardiovascular_system,2,0.0052
2020,contamination,25,0.0653
2020,device_handling,5,0.0131
2020,device_integrity,21313,55.6344
2020,device_patient_interaction,1,0.0026
2020,device_position,714,1.8638
2020,device_use,2,0.0052
2020,device_use_or_procedure,68,0.1775
2020,ear_and_auditory_system,42,0.1096
2020,eye,51,0.1331
2020,fluid_collection,2020,5.2729
2020,gastrointestinal_system,10,0.0261
2020,health_effect_unspecified,11,0.0287
2020,infection,880,2.2971
2020,inflammatory_response,592,1.5453
2020,local_complication,14560,38.0067
2020,lymphatic_system,651,1.6993
2020,musculoskeletal_system,132,0.3446
2020,neoplasm,523,1.3652
2020,nervous_system,483,1.2608
2020,patient_symptom,1752,4.5733
2020,psychological_condition,163,0.4255
2020,respiratory_system,64,0.1671
2020,skin_subcutaneous_tissue,310,0.8092
2020,structural_aesthetic_outcome,751,1.9604
2020,systemic_condition,530,1.3835
2020,systemic_symptom,255,0.6656
2020,tissue_injury,123,0.3211
2020,traumatic_injury,308,0.804
2020,wound_healing,247,0.6448
2020,wound_or_breast_finding,26,0.0679
2021,biocompatibility,8123,23.4045
2021,bleeding_complication,102,0.2939
2021,breast_finding,307,0.8845
2021,cardiovascular_system,27,0.0778
2021,contamination,13,0.0375
2021,device_handling,45,0.1297
2021,device_integrity,19437,56.0031
2021,device_patient_interaction,29,0.0836
2021,device_position,736,2.1206
2021,device_use,5,0.0144
2021,device_use_or_procedure,15,0.0432
2021,ear_and_auditory_system,29,0.0836
2021,eye,33,0.0951
2021,fluid_collection,1534,4.4199
2021,gastrointestinal_system,13,0.0375
2021,health_effect_unspecified,22,0.0634
2021,infection,629,1.8123
2021,inflammatory_response,693,1.9967
2021,local_complication,14074,40.5509
2021,lymphatic_system,528,1.5213
2021,musculoskeletal_system,91,0.2622
2021,neoplasm,420,1.2101
2021,nervous_system,315,0.9076
2021,patient_symptom,1182,3.4057
2021,psychological_condition,132,0.3803
2021,respiratory_system,41,0.1181
2021,skin_subcutaneous_tissue,168,0.4841
2021,structural_aesthetic_outcome,6058,17.4547
2021,systemic_condition,343,0.9883
2021,systemic_symptom,148,0.4264
2021,tissue_injury,128,0.3688
2021,traumatic_injury,178,0.5129
2021,wound_healing,200,0.5763
2021,wound_or_breast_finding,38,0.1095
2022,biocompatibility,11661,26.2293
2022,bleeding_complication,156,0.3509
2022,breast_finding,357,0.803
2022,cardiovascular_system,26,0.0585
2022,contamination,22,0.0495
2022,device_handling,109,0.2452
2022,device_integrity,24086,54.177
2022,device_patient_interaction,1082,2.4338
2022,device_position,843,1.8962
2022,device_use,46,0.1035
2022,device_use_or_procedure,20,0.045
2022,ear_and_auditory_system,31,0.0697
2022,eye,33,0.0742
2022,fluid_collection,1853,4.168
2022,gastrointestinal_system,32,0.072
2022,health_effect_unspecified,314,0.7063
2022,infection,805,1.8107
2022,inflammatory_response,731,1.6442
2022,local_complication,18863,42.4288
2022,lymphatic_system,716,1.6105
2022,musculoskeletal_system,114,0.2564
2022,neoplasm,494,1.1112
2022,nervous_system,316,0.7108
2022,patient_symptom,1276,2.8701
2022,psychological_condition,117,0.2632
2022,respiratory_system,41,0.0922
2022,skin_subcutaneous_tissue,242,0.5443
2022,structural_aesthetic_outcome,6632,14.9175
2022,systemic_condition,354,0.7963
2022,systemic_symptom,159,0.3576
2022,tissue_injury,202,0.4544
2022,traumatic_injury,165,0.3711
2022,wound_healing,263,0.5916
2022,wound_or_breast_finding,53,0.1192
2023,biocompatibility,9877,24.8553
2023,bleeding_complication,140,0.3523
2023,breast_finding,332,0.8355
2023,cardiovascular_system,22,0.0554
2023,contamination,16,0.0403
2023,device_handling,116,0.2919
2023,device_integrity,21902,55.116
2023,device_patient_interaction,1652,4.1572
2023,device_position,792,1.9931
2023,device_use,112,0.2818
2023,device_use_or_procedure,19,0.0478
2023,ear_and_auditory_system,37,0.0931
2023,eye,42,0.1057
2023,fluid_collection,1657,4.1698
2023,gastrointestinal_system,29,0.073
2023,health_effect_unspecified,529,1.3312
2023,infection,576,1.4495
2023,inflammatory_response,733,1.8446
2023,local_complication,17285,43.4974
2023,lymphatic_system,602,1.5149
2023,musculoskeletal_system,99,0.2491
2023,neoplasm,387,0.9739
2023,nervous_system,266,0.6694
2023,patient_symptom,1169,2.9418
2023,psychological_condition,127,0.3196
2023,respiratory_system,30,0.0755
2023,skin_subcutaneous_tissue,225,0.5662
2023,structural_aesthetic_outcome,6910,17.3889
2023,systemic_condition,182,0.458
2023,systemic_symptom,159,0.4001
2023,tissue_injury,157,0.3951
2023,traumatic_injury,42,0.1057
2023,wound_healing,150,0.3775
2023,wound_or_breast_finding,34,0.0856
2024,biocompatibility,10107,25.4347
2024,bleeding_complication,128,0.3221
2024,breast_finding,334,0.8405
2024,cardiovascular_system,21,0.0528
2024,contamination,18,0.0453
2024,device_handling,129,0.3246
2024,device_integrity,22553,56.7557
2024,device_patient_interaction,1425,3.5861
2024,device_position,867,2.1818
2024,device_use,109,0.2743
2024,device_use_or_procedure,4,0.0101
2024,ear_and_auditory_system,14,0.0352
2024,eye,44,0.1107
2024,fluid_collection,1628,4.0969
2024,gastrointestinal_system,38,0.0956
2024,health_effect_unspecified,562,1.4143
2024,infection,574,1.4445
2024,inflammatory_response,744,1.8723
2024,local_complication,17593,44.2736
2024,lymphatic_system,592,1.4898
2024,musculoskeletal_system,54,0.1359
2024,neoplasm,336,0.8456
2024,nervous_system,217,0.5461
2024,patient_symptom,939,2.363
2024,psychological_condition,111,0.2793
2024,respiratory_system,35,0.0881
2024,skin_subcutaneous_tissue,162,0.4077
2024,structural_aesthetic_outcome,6945,17.4774
2024,systemic_condition,147,0.3699
2024,systemic_symptom,126,0.3171
2024,tissue_injury,157,0.3951
2024,traumatic_injury,46,0.1158
2024,wound_healing,175,0.4404
2024,wound_or_breast_finding,39,0.0981
2025,biocompatibility,11027,27.3997
2025,bleeding_complication,144,0.3578
2025,breast_finding,381,0.9467
2025,cardiovascular_system,2,0.005
2025,contamination,30,0.0745
2025,device_handling,68,0.169
2025,device_integrity,22841,56.7549
2025,device_patient_interaction,1317,3.2725
2025,device_position,1379,3.4265
2025,device_use,96,0.2385
2025,device_use_or_procedure,21,0.0522
2025,ear_and_auditory_system,2,0.005
2025,eye,9,0.0224
2025,fluid_collection,1239,3.0786
2025,gastrointestinal_system,12,0.0298
2025,health_effect_unspecified,637,1.5828
2025,infection,563,1.3989
2025,inflammatory_response,613,1.5232
2025,local_complication,18299,45.469
2025,lymphatic_system,392,0.974
2025,musculoskeletal_system,23,0.0571
2025,neoplasm,268,0.6659
2025,nervous_system,159,0.3951
2025,patient_symptom,1129,2.8053
2025,psychological_condition,89,0.2211
2025,respiratory_system,11,0.0273
2025,skin_subcutaneous_tissue,122,0.3031
2025,structural_aesthetic_outcome,6714,16.6828
2025,systemic_condition,100,0.2485
2025,systemic_symptom,45,0.1118
