ReportSourceCode,ReporterOccupationCode,ReportCount,PctOfAllReports
Manufacturer report,OTHER,111263,46.908
Manufacturer report,PHYSICIAN,102818,43.3476
Manufacturer report,003,14882,6.2742
Manufacturer report,OTHER HEALTH CARE PROFESSIONAL,2805,1.1826
Voluntary report,PATIENT,1723,0.7264
Manufacturer report,501,1000,0.4216
Manufacturer report,NURSE,740,0.312
Manufacturer report,PHYSICIAN ASSISTANT,699,0.2947
Manufacturer report,PHARMACIST,468,0.1973
Manufacturer report,,268,0.113
Voluntary report,OTHER,155,0.0653
Voluntary report,UNKNOWN,122,0.0514
Voluntary report,PHYSICIAN,43,0.0181
Manufacturer report,117,37,0.0156
User Facility report,RISK MANAGER,35,0.0148
User Facility report,NURSE,27,0.0114
Voluntary report,OTHER HEALTH CARE PROFESSIONAL,21,0.0089
User Facility report,OTHER HEALTH CARE PROFESSIONAL,17,0.0072
Manufacturer report,505,14,0.0059
Voluntary report,PATIENT FAMILY MEMBER OR FRIEND,12,0.0051
Voluntary report,NURSE,11,0.0046
Voluntary report,003,10,0.0042
Manufacturer report,RISK MANAGER,5,0.0021
Voluntary report,RISK MANAGER,5,0.0021
Voluntary report,PHYSICIAN ASSISTANT,4,0.0017
Voluntary report,PHARMACIST,3,0.0013
Voluntary report,501,3,0.0013
Manufacturer report,BIOMEDICAL ENGINEER,2,0.0008
Voluntary report,117,2,0.0008
