SourceType,ReportCount,PctOfAllReports
HEALTH PROFESSIONAL,159266,67.15
CONSUMER,62480,26.34
FOREIGN,49046,20.68
COMPANY REPRESENTATION,25783,10.87
COMPANY REPRESENTATIVE,14109,5.95
OTHER,11800,4.97
DISTRIBUTOR,8177,3.45
HEALTH,4695,1.98
CONSUM,4681,1.97
FOREIG,3943,1.66
STUDY,1687,0.71
HEALTH PR,1531,0.65
USER FACILITY,619,0.26
LITERATURE,579,0.24
HEALTH PROFE,445,0.19
DISTRI,353,0.15
O,204,0.09
L,34,0.01
LITERATUR,13,0.01
HEALTH PROFESSION,5,0.0
USER F,4,0.0
USER FACI,3,0.0
STU,2,0.0
S,2,0.0
LITERA,2,0.0
HEALTH P,1,0.0
COMPANY REPRESENTATI,1,0.0
U,1,0.0
USER FACIL,1,0.0
